short_code,std_code,name
F70100022,KR5701000220,한투미국경제주도1(A)
F70100023,KR5701000238,한투미국경제주도1(A-e)
F70100024,KR5701000246,한투미국경제주도2(A)
F70100025,KR5701000253,한투미국경제주도2(A-e)
F70100026,KR5701000261,한투글로벌넥스트웨이브1(A)
F70100027,KR5701000279,한투글로벌넥스트웨이브1(A-e)
F70100028,KR5701000287,한투글로벌넥스트웨이브2(A)
F70100029,KR5701000295,한투글로벌넥스트웨이브2(A-e)
F70101B95,KR570101B954,밀라노부동산
F70101B96,KR570101B962,벨기에코어오피스2호
F70101B9A,KR570101B9A2,한국투자뉴욕오피스1호
F70102B96,KR570102B960,룩셈부르크코어오피스(파생형)(A)
F70103B96,KR570103B968,룩셈부르크코어오피스(파생형)(C-I)
F70900001,KR5709000016,대신하이일드공모주알파증권2호 A
F70900002,KR5709000024,대신하이일드공모주알파증권2호 A-e
F71201B97,KR571201B977,키움히어로즈미국물류부동산1호
F71201B98,KR571201B985,키움히어로즈유럽오피스부동산1호 A
F71202B98,KR571202B983,키움히어로즈유럽오피스부동산1호 C-I
F71203B98,KR571203B981,키움히어로즈유럽오피스부동산2호 A
F71204B98,KR571204B989,키움히어로즈유럽오피스부동산2호 C-I
F71205B98,KR571205B986,키움히어로즈유럽오피스부동산3호 A
F71206B98,KR571206B984,키움히어로즈유럽오피스부동산3호 C-I
F71207B98,KR571207B982,키움히어로즈유럽오피스부동산4호 A
F71208B98,KR571208B980,키움히어로즈유럽오피스부동산4호 C-I
F71901BBC,KR571901BBC8,KB국민참여뉴딜2A
F71902BBC,KR571902BBC6,KB국민참여뉴딜2C
F72501BBC,KR572501BBC5,신한국민참여정책형뉴딜혼합자산2호 C1
F72502BBC,KR572502BBC3,신한국민참여정책형뉴딜혼합자산2호 A1
F72801BBC,KR572801BBC9,한화국민참여정책형뉴딜2A
F72802BBC,KR572802BBC7,한화국민참여정책형뉴딜2C
F73400006,KR5734000064,코레이트하이일드공모주만기형2호 A
F73400007,KR5734000072,코레이트하이일드공모주만기형2호 A-e
F73400008,KR5734000080,코레이트하이일드공모주만기형3호 A
F73400009,KR5734000098,코레이트하이일드공모주만기형3호 A2
F73400010,KR5734000106,코레이트하이일드공모주만기형3호 Ae
F73501BBC,KR573501BBC4,GB뉴딜기업2호A
F73502BBC,KR573502BBC2,GB뉴딜기업2호Ae
F74100003,KR5741000032,흥국플러스공모주하이일드증권2호 A
F74100004,KR5741000040,흥국플러스공모주하이일드증권2호 A-e
F74100005,KR5741000057,흥국플러스공모주하이일드증권2호 C-f
F74201773,KR5742017738,하나대체나사부동산1호
F74201BAA,KR574201BAA6,하나대체미국부동산1호 A
F74202BAA,KR574202BAA4,하나대체미국부동산1호 C-I
F74401777,KR5744017777,맵스미국11호
F74401BAA,KR574401BAA2,맵스미국16호 종류A
F74601669,KR5746016694,KCGI베트남증권투자신탁
F74701776,KR5747017766,이지스코어부동산126호 A
F74701B97,KR574701B973,이지스글로벌281호 Class A
F74701B9A,KR574701B9A8,이지스299호A
F74702776,KR5747027765,이지스코어부동산126호 C-i
F75601BA2,KR575601BA20,유경공모부동산3호ClassA
F75602BA2,KR575602BA29,유경공모부동산3호ClassC-I
F75701BA7,KR575701BA78,현대유퍼스트부동산30호[파생형] A
F75702BA7,KR575702BA77,현대유퍼스트부동산30호[파생형] C-i
F75801BBC,KR575801BBC6,IBK국민참여정책형뉴딜혼합자산2호A
F75802BBC,KR575802BBC4,IBK국민참여정책형뉴딜혼합자산2호C
F76201BC5,KR576201BC53,이탈리아물류1호 종류A
F77200005,KR5772000059,한국밸류AI혁신소부장1호(A)
F77200006,KR5772000067,한국밸류AI혁신소부장1호(A-e)
F77200007,KR5772000075,한국밸류AI혁신소부장1호(C-F)
F77200008,KR5772000083,한국밸류AI혁신소부장2호(A)
F77200009,KR5772000091,한국밸류AI혁신소부장2호(A-e)
F77200010,KR5772000109,한국밸류AI혁신소부장2호(C-F)
F77300005,KR5773000058,밸류시스템SAFE증권3호(A)
F77300006,KR5773000066,밸류시스템SAFE증권3호(Ae)
F77300007,KR5773000074,밸류시스템SAFE증권3호(CF)
F77300008,KR5773000082,밸류시스템SAFE증권4호(A)
F77300009,KR5773000090,밸류시스템SAFE증권4호(Ae)
F77300010,KR5773000108,밸류시스템SAFE증권4호(CF)
000020,KR7000020008,동화약품
000040,KR7000040006,KR모터스
000050,KR7000050005,경방
000070,KR7000070003,삼양홀딩스
000080,KR7000080002,하이트진로
000087,KR7000082008,하이트진로2우B
0000D0,KR70000D0009,TIGER 엔비디아미국채커버드콜밸런스(합성)
0000H0,KR70000H0005,KODEX 인도Nifty미드캡100
0000J0,KR70000J0003,PLUS 한화그룹주
0000Y0,KR70000Y0004,HK 26-12 회사채(AA-이상)액티브
0000Z0,KR70000Z0003,RISE 바이오TOP10액티브
000100,KR7000100008,유한양행
000105,KR7000101006,유한양행우
000120,KR7000120006,CJ대한통운
000140,KR7000140004,하이트진로홀딩스
000145,KR7000141002,하이트진로홀딩스우
000150,KR7000150003,두산
000155,KR7000151001,두산우
000157,KR7000152009,두산2우B
000180,KR7000180000,성창기업지주
0001P0,KR70001P0004,마이티 바이오시밀러&CDMO액티브
0001S0,KR70001S0001,TIGER 26-04 회사채(A+이상)액티브
000210,KR7000210005,DL
000215,KR7000211003,DL우
000220,KR7000220004,유유제약
000225,KR7000221002,유유제약1우
000227,KR7000222000,유유제약2우B
000230,KR7000230003,일동홀딩스
000240,KR7000240002,한국앤컴퍼니
000270,KR7000270009,기아
0002C0,KR70002C0008,에셋플러스 인도일등기업포커스20액티브
000300,KR7000300004,DH오토넥스
000320,KR7000320002,노루홀딩스
000325,KR7000321000,노루홀딩스우
000370,KR7000370007,한화손해보험
000390,KR7000390005,삼화페인트
000400,KR7000400002,롯데손해보험
000430,KR7000430009,대원강업
000480,KR7000480004,CR홀딩스
000490,KR7000490003,대동
0004G0,KR70004G0002,1Q 미국배당TOP30
000500,KR7000500009,가온전선
000520,KR7000520007,삼일제약
000540,KR7000540005,흥국화재
000545,KR7000541003,흥국화재우
000590,KR7000590000,CS홀딩스
0005A0,KR70005A0007,KODEX 미국S&P500데일리커버드콜OTM
0005C0,KR70005C0005,RISE 미국S&P500엔화노출(합성 H)
0005D0,KR70005D0004,SOL 전고체배터리&실리콘음극재
0005G0,KR70005G0001,ITF K-AI반도체코어테크
000640,KR7000640003,동아쏘시오홀딩스
000650,KR7000650002,천일고속
000660,KR7000660001,SK하이닉스
000670,KR7000670000,영풍
000680,KR7000680009,LS네트웍스
000700,KR7000700005,유수홀딩스
000720,KR7000720003,현대건설
000725,KR7000721001,현대건설우
000760,KR7000760009,이화산업
0007F0,KR70007F0000,KODEX 27-12 회사채(AA-이상)액티브
0007G0,KR70007G0009,PLUS 글로벌원자력밸류체인
0007N0,KR70007N0000,아이엠에셋 200
000810,KR7000810002,삼성화재
000815,KR7000811000,삼성화재우
000850,KR7000850008,화천기공
000860,KR7000860007,강남제비스코
000880,KR7000880005,한화
00088K,KR700088K015,한화3우B
000890,KR7000890004,보해양조
0008E0,KR70008E0000,ACE 미국중심중소형제조업
0008S0,KR70008S0004,TIGER 미국배당다우존스타겟데일리커버드콜
0008T0,KR70008T0003,SOL 화장품TOP3플러스
000910,KR7000910000,유니온
000950,KR7000950006,전방
000970,KR7000970004,한국주철관
000990,KR7000990002,DB하이텍
001020,KR7001020007,페이퍼코리아
001040,KR7001040005,CJ
001045,KR7001041003,CJ우
00104K,KR700104K010,CJ4우(전환)
001060,KR7001060003,JW중외제약
001065,KR7001061001,JW중외제약우
001067,KR7001062009,JW중외제약2우B
001070,KR7001070002,대한방직
001080,KR7001080001,만호제강
0010E0,KR70010E0006,ACE FTSE WGBI Korea
001120,KR7001120005,LX인터내셔널
001130,KR7001130004,대한제분
001140,KR7001140003,국보
001200,KR7001200005,유진투자증권
001210,KR7001210004,금호전기
001230,KR7001230002,동국홀딩스
001250,KR7001250000,GS글로벌
001260,KR7001260009,남광토건
001270,KR7001270008,부국증권
001275,KR7001271006,부국증권우
001290,KR7001290006,상상인증권
001340,KR7001340009,PKC
001360,KR7001360007,삼성제약
001380,KR7001380005,SG글로벌
001390,KR7001390004,KG케미칼
0013P0,KR70013P0000,RISE 미국은행TOP10
0013R0,KR70013R0008,RISE 테슬라미국채타겟커버드콜혼합(합성)
001420,KR7001420009,태원물산
001430,KR7001430008,세아베스틸지주
001440,KR7001440007,대한전선
001450,KR7001450006,현대해상
001460,KR7001460005,BYC
001465,KR7001461003,BYC우
001470,KR7001470004,삼부토건
001500,KR7001500008,현대차증권
001510,KR7001510007,SK증권
001515,KR7001511005,SK증권우
001520,KR7001520006,동양
001525,KR7001521004,동양우
001527,KR7001522002,동양2우B
001530,KR7001530005,DI동일
001550,KR7001550003,조비
001560,KR7001560002,제일연마
001570,KR7001570001,금양
0015B0,KR70015B0004,KoAct 미국나스닥성장기업액티브
0015E0,KR70015E0001,KIWOOM 엔비디아미국30년국채혼합액티브(H)
0015F0,KR70015F0000,KIWOOM 팔란티어미국30년국채혼합액티브(H)
0015K0,KR70015K0003,TIGER 미국소비트렌드액티브
001620,KR7001620004,케이비아이동국실업
001630,KR7001630003,종근당홀딩스
001680,KR7001680008,대상
001685,KR7001681006,대상우
0016X0,KR70016X0007,SOL 중단기회사채(A-이상)액티브
001720,KR7001720002,신영증권
001740,KR7001740000,SK네트웍스
001750,KR7001750009,한양증권
001755,KR7001751007,한양증권우
001770,KR7001770007,SHD
001780,KR7001780006,알루코
001790,KR7001790005,대한제당
001795,KR7001791003,대한제당우
0017Y0,KR70017Y0005,1Q 종합채권(AA-이상)액티브
001800,KR7001800002,오리온홀딩스
001820,KR7001820000,삼화콘덴서
0018C0,KR70018C0000,PLUS 고배당주위클리고정커버드콜
0018Z0,KR70018Z0003,RISE 미국양자컴퓨팅
001940,KR7001940006,KISCO홀딩스
0019K0,KR70019K0009,TIMEFOLIO 미국나스닥100채권혼합50액티브
002020,KR7002020006,코오롱
002025,KR7002021004,코오롱우
002030,KR7002030005,아세아
002070,KR7002070001,비비안
0020H0,KR70020H0001,KoAct 글로벌양자컴퓨팅액티브
002100,KR7002100006,경농
002140,KR7002140002,고려산업
002150,KR7002150001,도화엔지니어링
002170,KR7002170009,삼양통상
0021C0,KR70021C0005,ACE 장기자산배분액티브
0021D0,KR70021D0004,ACE TDF2030액티브
0021E0,KR70021E0003,ACE TDF2050액티브
002200,KR7002200004,한국수출포장
002210,KR7002210003,동성제약
002220,KR7002220002,한일철강
002240,KR7002240000,고려제강
0022T0,KR70022T0005,SOL 국제금커버드콜액티브
002310,KR7002310001,아세아제지
002320,KR7002320000,한진
002350,KR7002350007,넥센타이어
002355,KR7002351005,넥센타이어1우B
002360,KR7002360006,SH에너지화학
002380,KR7002380004,KCC
002390,KR7002390003,한독
0023A0,KR70023A0005,SOL 미국양자컴퓨팅TOP10
0023B0,KR70023B0004,PLUS 미국양자컴퓨팅TOP10
002410,KR7002410009,범양건영
002420,KR7002420008,세기상사
002450,KR7002450005,삼익악기
002460,KR7002460004,HS화성
0025N0,KR70025N0008,TIGER TDF2045
002600,KR7002600005,조흥
002620,KR7002620003,제일파마홀딩스
002630,KR7002630002,오리엔트바이오
002690,KR7002690006,동일제강
0026E0,KR70026E0008,KODEX 미국S&P500버퍼3월액티브
0026S0,KR70026S0002,1Q 미국S&P500
002700,KR7002700003,신일전자
002710,KR7002710002,TCC스틸
002720,KR7002720001,국제약품
002760,KR7002760007,보락
002780,KR7002780005,진흥기업
002785,KR7002781003,진흥기업우B
002787,KR7002782001,진흥기업2우B
002790,KR7002790004,아모레퍼시픽홀딩스
002795,KR7002791002,아모레퍼시픽홀딩스우
00279K,KR700279K010,아모레퍼시픽홀딩스3우C
002810,KR7002810000,삼영무역
002820,KR7002820009,SUN&L
002840,KR7002840007,미원상사
002870,KR7002870004,신풍
002880,KR7002880003,대유에이텍
0028X0,KR70028X0003,KODEX 미국금융테크액티브
002900,KR7002900009,TYM
002920,KR7002920007,유성기업
002960,KR7002960003,한국쉘석유
002990,KR7002990000,금호건설
002995,KR7002991008,금호건설우
003000,KR7003000007,부광약품
003010,KR7003010006,혜인
003030,KR7003030004,세아제강지주
003060,KR7003060001,에이프로젠바이오로직스
003070,KR7003070000,코오롱글로벌
003075,KR7003071008,코오롱글로벌우
003080,KR7003080009,SB성보
003090,KR7003090008,대웅
0030R0,KR70030R0007,대신밸류리츠
003120,KR7003120003,일성아이에스
003160,KR7003160009,디아이
003200,KR7003200003,일신방직
003220,KR7003220001,대원제약
003230,KR7003230000,삼양식품
003240,KR7003240009,태광산업
003280,KR7003280005,흥아해운
003300,KR7003300001,한일홀딩스
003350,KR7003350006,한국화장품제조
003460,KR7003460003,유화증권
003465,KR7003461001,유화증권우
